id,region
1,Prague
2,Turin
3,Prague
4,Turin
5,Turin
6,Hamburg
7,Hamburg
8,Turin
9,Turin
10,Hamburg
11,Hamburg
12,Hamburg
13,Turin
14,Prague
15,Turin
16,Prague
17,Turin
18,Prague
19,Turin
20,Hamburg
21,Turin
22,Prague
23,Hamburg
24,Hamburg
25,Turin
26,Hamburg
27,Prague
28,Prague
29,Turin
30,Prague
31,Turin
32,Turin
33,Prague
34,Turin
35,Prague
36,Prague
37,Prague
38,Turin
39,Hamburg
40,Hamburg
41,Prague
42,Turin
43,Prague
44,Turin
45,Prague
46,Turin
47,Turin
48,Prague
49,Hamburg
50,Turin
51,Prague
52,Hamburg
53,Prague
54,Prague
55,Prague
56,Hamburg
57,Turin
58,Prague
59,Turin
60,Prague
61,Prague
62,Prague
63,Turin
64,Turin
65,Prague
66,Turin
67,Turin
68,Prague
69,Turin
70,Prague
71,Turin
72,Turin
73,Turin
74,Prague
75,Turin
76,Hamburg
77,Turin
78,Prague
79,Turin
80,Prague
81,Hamburg
82,Hamburg
83,Hamburg
84,Hamburg
85,Turin
86,Hamburg
87,Turin
88,Turin
89,Hamburg
90,Hamburg
91,Turin
92,Hamburg
93,Hamburg
94,Hamburg
95,Hamburg
96,Prague
97,Hamburg
98,Prague
99,Prague
100,Hamburg
101,Hamburg
102,Hamburg
103,Hamburg
104,Hamburg
105,Prague
106,Hamburg
107,Prague
108,Prague
109,Hamburg
110,Hamburg
111,Hamburg
112,Hamburg
113,Hamburg
114,Prague
115,Hamburg
116,Prague
117,Prague
118,Hamburg
119,Hamburg
120,Hamburg
121,Hamburg
122,Hamburg
123,Prague
124,Hamburg
125,Prague
126,Prague
127,Hamburg
128,Hamburg
129,Hamburg
130,Hamburg
131,Hamburg
132,Prague
133,Hamburg
134,Prague
135,Prague
136,Hamburg
137,Hamburg
138,Hamburg
139,Hamburg
140,Hamburg
141,Prague
142,Hamburg
143,Prague
144,Prague
145,Hamburg
146,Hamburg
147,Hamburg
148,Hamburg
149,Hamburg
150,Prague
151,Hamburg
152,Prague
153,Prague
154,Hamburg
155,Hamburg
156,Hamburg
157,Hamburg
158,Hamburg
159,Prague
160,Hamburg
161,Prague
162,Prague
163,Hamburg
164,Hamburg
165,Hamburg
166,Hamburg
167,Hamburg
168,Prague
169,Hamburg
170,Prague
171,Prague
172,Hamburg
173,Hamburg
174,Hamburg
175,Hamburg
176,Hamburg
177,Prague
178,Hamburg
179,Prague
180,Prague
181,Hamburg
182,Hamburg
183,Hamburg
184,Hamburg
185,Hamburg
186,Prague
187,Hamburg
188,Prague
189,Prague
190,Hamburg
191,Hamburg
192,Hamburg
193,Hamburg
194,Hamburg
195,Prague
196,Hamburg
197,Prague
198,Prague
199,Hamburg
200,Hamburg
201,Hamburg
202,Hamburg
203,Hamburg
204,Prague
205,Hamburg
206,Prague
207,Prague
208,Hamburg
209,Hamburg
210,Hamburg
211,Hamburg
212,Hamburg
213,Prague
214,Hamburg
215,Prague
216,Prague
217,Hamburg
218,Hamburg
219,Hamburg
220,Hamburg
221,Hamburg
222,Prague
223,Hamburg
224,Prague
225,Prague
226,Hamburg
227,Hamburg
228,Hamburg
229,Hamburg
230,Hamburg
231,Prague
232,Hamburg
233,Prague
234,Prague
235,Hamburg
236,Hamburg
237,Hamburg
238,Hamburg
239,Hamburg
240,Prague
241,Hamburg
242,Prague
243,Prague
244,Hamburg
245,Hamburg
246,Hamburg
247,Hamburg
248,Hamburg
249,Prague
250,Hamburg
251,Prague
252,Prague
253,Hamburg
254,Hamburg
255,Hamburg
256,Hamburg
257,Hamburg
258,Prague
259,Hamburg
260,Prague
261,Prague
262,Hamburg
263,Hamburg
264,Hamburg
265,Hamburg
266,Hamburg
267,Prague
268,Hamburg
269,Prague
270,Prague
271,Hamburg
272,Hamburg
273,Hamburg
274,Hamburg
275,Hamburg
276,Prague
277,Hamburg
278,Prague
279,Prague
280,Hamburg
281,Hamburg
282,Hamburg
283,Hamburg
284,Hamburg
285,Prague
286,Hamburg
287,Prague
288,Prague
289,Hamburg
290,Hamburg
291,Hamburg
292,Hamburg
293,Hamburg
